t_s,i_A,i_ref_A,active
0.019416,0.000000,15.000000,0.000000
0.019418,0.000000,15.000000,0.000000
0.019420,0.000000,15.000000,0.000000
0.019422,0.000000,15.000000,0.000000
0.019424,0.000000,15.000000,0.000000
0.019426,0.000000,15.000000,0.000000
0.019428,0.000000,15.000000,0.000000
0.019430,0.000000,15.000000,0.000000
0.019432,0.000000,15.000000,0.000000
0.019434,0.000000,15.000000,0.000000
0.019436,0.000000,15.000000,0.000000
0.019438,0.000000,15.000000,0.000000
0.019440,0.000000,15.000000,0.000000
0.019442,0.000000,15.000000,0.000000
0.019444,0.000000,15.000000,0.000000
0.019446,0.000000,15.000000,0.000000
0.019448,0.000000,15.000000,0.000000
0.019450,0.000000,15.000000,0.000000
0.019452,0.000000,15.000000,0.000000
0.019454,0.000000,15.000000,0.000000
0.019456,0.000000,15.000000,0.000000
0.019458,0.000000,15.000000,0.000000
0.019460,0.000000,15.000000,0.000000
0.019462,0.000000,15.000000,0.000000
0.019464,0.000000,15.000000,0.000000
0.019466,0.000000,15.000000,0.000000
0.019468,0.000000,15.000000,0.000000
0.019470,0.000000,15.000000,0.000000
0.019472,0.000000,15.000000,0.000000
0.019474,0.000000,15.000000,0.000000
0.019476,0.000000,15.000000,0.000000
0.019478,0.000000,15.000000,0.000000
0.019480,0.000000,15.000000,0.000000
0.019482,0.000000,15.000000,0.000000
0.019484,0.000000,15.000000,0.000000
0.019486,0.000000,15.000000,0.000000
0.019488,0.000000,15.000000,0.000000
0.019490,0.000000,15.000000,0.000000
0.019492,0.000000,15.000000,0.000000
0.019494,0.000000,15.000000,0.000000
0.019496,0.000000,15.000000,0.000000
0.019498,0.000000,15.000000,0.000000
0.019500,0.000000,15.000000,0.000000
0.019502,0.000000,15.000000,0.000000
0.019504,0.000000,15.000000,0.000000
0.019506,0.000000,15.000000,0.000000
0.019508,0.000000,15.000000,0.000000
0.019510,0.000000,15.000000,0.000000
0.019512,0.000000,15.000000,0.000000
0.019514,0.000000,15.000000,0.000000
0.019516,0.000000,15.000000,0.000000
0.019518,0.000000,15.000000,0.000000
0.019520,0.000000,15.000000,0.000000
0.019522,0.000000,15.000000,0.000000
0.019524,0.000000,15.000000,0.000000
0.019526,0.000000,15.000000,0.000000
0.019528,0.000000,15.000000,0.000000
0.019530,0.000000,15.000000,0.000000
0.019532,0.000000,15.000000,0.000000
0.019534,0.000000,15.000000,0.000000
0.019536,0.000000,15.000000,0.000000
0.019538,0.000000,15.000000,0.000000
0.019540,0.000000,15.000000,0.000000
0.019542,0.000000,15.000000,0.000000
0.019544,0.000000,15.000000,0.000000
0.019546,0.000000,15.000000,0.000000
0.019548,0.000000,15.000000,0.000000
0.019550,0.000000,15.000000,0.000000
0.019552,0.000000,15.000000,0.000000
0.019554,0.000000,15.000000,0.000000
0.019556,0.000000,15.000000,0.000000
0.019558,0.000000,15.000000,0.000000
0.019560,0.000000,15.000000,0.000000
0.019562,0.000000,15.000000,0.000000
0.019564,0.000000,15.000000,0.000000
0.019566,0.000000,15.000000,0.000000
0.019568,0.000000,15.000000,0.000000
0.019570,0.000000,15.000000,0.000000
0.019572,0.000000,15.000000,0.000000
0.019574,0.000000,15.000000,0.000000
0.019576,0.000000,15.000000,0.000000
0.019578,0.000000,15.000000,0.000000
0.019580,0.000000,15.000000,0.000000
0.019582,0.000000,15.000000,0.000000
0.019584,0.000000,15.000000,0.000000
0.019586,0.000000,15.000000,0.000000
0.019588,0.000000,15.000000,0.000000
0.019590,0.000000,15.000000,0.000000
0.019592,0.000000,15.000000,0.000000
0.019594,0.000000,15.000000,0.000000
0.019596,0.000000,15.000000,0.000000
0.019598,0.000000,15.000000,0.000000
0.019600,0.000000,15.000000,0.000000
0.019602,0.000000,15.000000,0.000000
0.019604,0.000000,15.000000,0.000000
0.019606,0.000000,15.000000,0.000000
0.019608,0.000000,15.000000,0.000000
0.019610,0.000000,15.000000,0.000000
0.019612,0.000000,15.000000,0.000000
0.019614,0.000000,15.000000,0.000000
0.019616,0.000000,15.000000,0.000000
0.019618,0.000000,15.000000,0.000000
0.019620,0.000000,15.000000,0.000000
0.019622,0.000000,15.000000,0.000000
0.019624,0.000000,15.000000,0.000000
0.019626,0.000000,15.000000,0.000000
0.019628,0.000000,15.000000,0.000000
0.019630,0.000000,15.000000,0.000000
0.019632,0.000000,15.000000,0.000000
0.019634,0.000000,15.000000,0.000000
0.019636,0.000000,15.000000,0.000000
0.019638,0.000000,15.000000,0.000000
0.019640,0.000000,15.000000,0.000000
0.019642,0.000000,15.000000,0.000000
0.019644,0.000000,15.000000,0.000000
0.019646,0.000000,15.000000,0.000000
0.019648,0.000000,15.000000,0.000000
0.019650,0.000000,15.000000,0.000000
0.019652,0.000000,15.000000,0.000000
0.019654,0.000000,15.000000,0.000000
0.019656,0.000000,15.000000,0.000000
0.019658,0.000000,15.000000,0.000000
0.019660,0.000000,15.000000,0.000000
0.019662,0.000000,15.000000,0.000000
0.019664,0.000000,15.000000,0.000000
0.019666,0.000000,15.000000,0.000000
0.019668,0.000000,15.000000,0.000000
0.019670,0.000000,15.000000,0.000000
0.019672,0.000000,15.000000,0.000000
0.019674,0.000000,15.000000,0.000000
0.019676,0.000000,15.000000,0.000000
0.019678,0.000000,15.000000,0.000000
0.019680,0.000000,15.000000,0.000000
0.019682,0.000000,15.000000,0.000000
0.019684,0.000000,15.000000,0.000000
0.019686,0.000000,15.000000,0.000000
0.019688,0.000000,15.000000,0.000000
0.019690,0.000000,15.000000,0.000000
0.019692,0.000000,15.000000,0.000000
0.019694,0.000000,15.000000,0.000000
0.019696,0.000000,15.000000,0.000000
0.019698,0.000000,15.000000,0.000000
0.019700,0.000000,15.000000,0.000000
0.019702,0.000000,15.000000,0.000000
0.019704,0.000000,15.000000,0.000000
0.019706,0.000000,15.000000,0.000000
0.019708,0.000000,15.000000,0.000000
0.019710,0.000000,15.000000,0.000000
0.019712,0.000000,15.000000,0.000000
0.019714,0.000000,15.000000,0.000000
0.019716,0.000000,15.000000,0.000000
0.019718,0.000000,15.000000,0.000000
0.019720,0.000000,15.000000,0.000000
0.019722,0.000000,15.000000,0.000000
0.019724,0.000000,15.000000,0.000000
0.019726,0.000000,15.000000,0.000000
0.019728,0.000000,15.000000,0.000000
0.019730,0.000000,15.000000,0.000000
0.019732,0.000000,15.000000,0.000000
0.019734,0.000000,15.000000,0.000000
0.019736,0.000000,15.000000,0.000000
0.019738,0.000000,15.000000,0.000000
0.019740,0.000000,15.000000,0.000000
0.019742,0.000000,15.000000,0.000000
0.019744,0.000000,15.000000,0.000000
0.019746,0.000000,15.000000,0.000000
0.019748,0.000000,15.000000,0.000000
0.019750,0.000000,15.000000,0.000000
0.019752,0.000000,15.000000,0.000000
0.019754,0.000000,15.000000,0.000000
0.019756,0.000000,15.000000,0.000000
0.019758,0.000000,15.000000,0.000000
0.019760,0.000000,15.000000,0.000000
0.019762,0.000000,15.000000,0.000000
0.019764,0.000000,15.000000,0.000000
0.019766,0.000000,15.000000,0.000000
0.019768,0.000000,15.000000,0.000000
0.019770,0.000000,15.000000,0.000000
0.019772,0.000000,15.000000,0.000000
0.019774,0.000000,15.000000,0.000000
0.019776,0.000000,15.000000,0.000000
0.019778,0.000000,15.000000,0.000000
0.019780,0.000000,15.000000,0.000000
0.019782,0.000000,15.000000,0.000000
0.019784,0.000000,15.000000,0.000000
0.019786,0.000000,15.000000,0.000000
0.019788,0.000000,15.000000,0.000000
0.019790,0.000000,15.000000,0.000000
0.019792,0.000000,15.000000,0.000000
0.019794,0.000000,15.000000,0.000000
0.019796,0.000000,15.000000,0.000000
0.019798,0.000000,15.000000,0.000000
0.019800,0.000000,15.000000,0.000000
0.019802,0.000000,15.000000,0.000000
0.019804,0.000000,15.000000,0.000000
0.019806,0.000000,15.000000,0.000000
0.019808,0.000000,15.000000,0.000000
0.019810,0.000000,15.000000,0.000000
0.019812,0.000000,15.000000,0.000000
0.019814,0.000000,15.000000,0.000000
0.019816,0.000000,15.000000,0.000000
0.019818,0.000000,15.000000,0.000000
0.019820,0.000000,15.000000,0.000000
0.019822,0.000000,15.000000,0.000000
0.019824,0.000000,15.000000,0.000000
0.019826,0.000000,15.000000,0.000000
0.019828,0.000000,15.000000,0.000000
0.019830,0.000000,15.000000,0.000000
0.019832,0.000000,15.000000,0.000000
0.019834,0.000000,15.000000,0.000000
0.019836,0.000000,15.000000,0.000000
0.019838,0.000000,15.000000,0.000000
0.019840,0.000000,15.000000,0.000000
0.019842,0.000000,15.000000,0.000000
0.019844,0.000000,15.000000,0.000000
0.019846,0.000000,15.000000,0.000000
0.019848,0.000000,15.000000,0.000000
0.019850,0.000000,15.000000,0.000000
0.019852,0.000000,15.000000,0.000000
0.019854,0.000000,15.000000,0.000000
0.019856,0.000000,15.000000,0.000000
0.019858,0.000000,15.000000,0.000000
0.019860,0.000000,15.000000,0.000000
0.019862,0.000000,15.000000,0.000000
0.019864,0.000000,15.000000,0.000000
0.019866,0.000000,15.000000,0.000000
0.019868,0.000000,15.000000,0.000000
0.019870,0.000000,15.000000,0.000000
0.019872,0.000000,15.000000,0.000000
0.019874,0.000000,15.000000,0.000000
0.019876,0.000000,15.000000,0.000000
0.019878,0.000000,15.000000,0.000000
0.019880,0.000000,15.000000,0.000000
0.019882,0.000000,15.000000,0.000000
0.019884,0.000000,15.000000,0.000000
0.019886,0.000000,15.000000,0.000000
0.019888,0.000000,15.000000,0.000000
0.019890,0.000000,15.000000,0.000000
0.019892,0.000000,15.000000,0.000000
0.019894,0.000000,15.000000,0.000000
0.019896,0.000000,15.000000,0.000000
0.019898,0.000000,15.000000,0.000000
0.019900,0.000000,15.000000,0.000000
0.019902,0.000000,15.000000,0.000000
0.019904,0.000000,15.000000,0.000000
0.019906,0.000000,15.000000,0.000000
0.019908,0.000000,15.000000,0.000000
0.019910,0.000000,15.000000,0.000000
0.019912,0.000000,15.000000,0.000000
0.019914,0.000000,15.000000,0.000000
0.019916,0.000000,15.000000,0.000000
0.019918,0.000000,15.000000,0.000000
0.019920,0.000000,15.000000,0.000000
0.019922,0.000000,15.000000,0.000000
0.019924,0.000000,15.000000,0.000000
0.019926,0.000000,15.000000,0.000000
0.019928,0.000000,15.000000,0.000000
0.019930,0.000000,15.000000,0.000000
0.019932,0.000000,15.000000,0.000000
0.019934,0.000000,15.000000,0.000000
0.019936,0.000000,15.000000,0.000000
0.019938,0.000000,15.000000,0.000000
0.019940,0.000000,15.000000,0.000000
0.019942,0.000000,15.000000,0.000000
0.019944,0.000000,15.000000,0.000000
0.019946,0.000000,15.000000,0.000000
0.019948,0.000000,15.000000,0.000000
0.019950,0.000000,15.000000,0.000000
0.019952,0.000000,15.000000,0.000000
0.019954,0.000000,15.000000,0.000000
